text,category
"Compare and contrast two treatments of either drapery or animals by Greek sculptors, establishing their artistic contexts",Comprehension
Can you distinguish pot still rums from column still rums by taste,Analysis
 What is part of this book did you like best. Tell why you like it?,Evaluation
" After designing an experiment, examining the results, and drawing conclusions, determines in what ways the experiment could be conducted more effectively in order to draw more productive conclusions in the future.",Evaluation
Name the food groups and at least two items of food in each group.,Knowledge
Translate an equation into a spreadsheet formula.,Comprehension
 What ideas can you add to...?,Synthesis
Can you state in your own words what the problem is asking you to do,Comprehension
Apply laws of statistics to evaluate the reliability of a written test.,Application
"Following the identification of the forms of corrosion that were involved in a failure, recommend a solution to avoid this failure?",Synthesis
Retell the story in your words.,Comprehension
Outline in your own words how the Leggo's Tomato Paste advertisement sells their product.,Comprehension
Develop a SQA Plan for a software development project which is defined in the attached document.,Synthesis
State the characteristics of each type of corrosion testing studied,Knowledge
Summarize the main point of these two texts in your own words,Comprehension
 What changes to . . . would you recommend?,Evaluation
"If interest were compounded monthly instead of daily, what would the difference in interest be?",Analysis
Select the athlete of the century and analyze why you chose this person.,Analysis
Construct one Turing Machine for computing each of the following functions,Application
 Why don't you devise your own way to deal with . . .?,Synthesis
Can you design a . . . to . . .?,Synthesis
 Recommend how our classroom or playground could be improved.,Evaluation
Rewrite the principles of test writing.,Comprehension
would you classify the zener diode in this circuit as a series voltage regulator or a shunt voltage regulator,Comprehension
"Define stream bank, floodplain and substrate.",Knowledge
"By comparing the map of the tectonic plates to the earthquake map, what inferences can you make?",Analysis
Categorise the pictures and add them to the wall display.,Application
analyze the positive and negative points presented concerning the abolition of guns and write a brief (-page) narrative of your analysis.,Analysis
"Recite the poem ""Auto Wreck"".",Knowledge
 What do you think are the strengths of using integrated math in your program?,Evaluation
State the pattern for expressing time in French.,Knowledge
"Briefly compare this way of testing the satisfiability of to the more standard way using SLD Resolution, as in Prolog",Comprehension
Interpret the pictures.,Comprehension
sketch a graph of velocity versus time for the upward and downward parts of a ball's flight,Application
Describe in your own words what happens when a stream's velocity slows.,Comprehension
Draw the flow chart of the PNK system,Knowledge
Draw a picture of the bears' house.,Application
How many ways can you . . .?,Synthesis
Demonstrate how the seasons occur.,Application
Can you group by characteristics such as . . .?,Application
Can you please analyze modern contemporary culture and tell me how your work plays a significant part in the remains of our post-modernist culture ?,Analysis
State the rule for balls and strikes in baseball.,Knowledge
" Write a C program that accepts integer inputs from the screen, computes the total and average values; and displays the values on the screen.",Synthesis
Contrast Olympic athletes of today with athletes of past Olympic games.,Analysis
When did the second world war happen,Knowledge
What does ICT stands for.,Knowledge
 Revises and process to improve the outcome.,Synthesis
Compare and contrast two characters in the book.,Analysis
 Do you think that this statement conveys the idea that i am trying to portray,Evaluation
Construct a model to demonstrate how it will work.,Application
Can you analyze the fractures and determine which should be repaired surgically,Analysis
 Choose a paint schedule for the maintenance of an outdoor structure? (level ),Evaluation
Apply the storytelling technique here to a little story of your own.,Application
Break down the main actions of the story.,Analysis
"Outline an ""attack plan"" that will allow you to test your hypothesis using computational molecular modeling tools",Comprehension
Outline the most important insight of the tale.,Comprehension
 Which of the following actions would probably be least effective in determining the answer?,Evaluation
When did you born ?,Knowledge
 Establish criteria for making this choice and defend your final selection.,Evaluation
" Given an argument on any position, enumerate the logical fallacies in that argument.",Evaluation
"How do we construct agents that can deliver. ""good"" assistance",Application
"how do the clauses and expressions given in the article which replace GOTO statements, lead to the three traditional control statements",Synthesis
How to construct the selected information system,Application
How does...compare/contrast with...?,Analysis
 Design a healthy menu that you think most people would enjoy using the healthy eating guide.,Evaluation
" improved, reformed or rejected?",Evaluation
Make a paper-mache map to include relevant information about an event.,Application
Make a diagnosis or analyze a case study.,Analysis
How would you create/design a new...?,Synthesis
" Evaluate a work of art, giving the reasons for your evaluation.",Evaluation
Design a poster for this book.,Synthesis
How to construct simple solutions when problems are complex?,Application
Apply the rule of law to a new situation,Application
Paraphrase the poem in your own words,Comprehension
Draw and label a diagram of a typical stream.,Knowledge
Use a costing model to compute prices on goods to maximise profits and minimise costs.,Application
Identify a phrase as a simile,Knowledge
Identify one problem in the book and give an alternate solution one not given by the author.,Synthesis
" Using information from the book about one of the main characters, rewrite the ending of the book.",Synthesis
 Evaluate two Internet sources of information about the Egyptians. Which would be a better choice for your purpose and why?,Evaluation
How to inspect and maintain fresh water plumbing systems properly,Analysis
"Inspect each of these Boolean expressions, and determine whether each one is a sum of products, or a product of sums",Analysis
Can you apply the method used to some experience of your own . . .?,Application
" Given three possible approaches to implement the defined system, discuss the possible advantages and disadvantages of each approach.",Evaluation
Design and make an animal that moves.,Synthesis
"How do I differentiate between ""deceive"" and ""cheat on""?",Analysis
List the procedure to draw a mixed potential or Evans' diagram,Knowledge
Describe in your own words how to copy text from one program into another.,Comprehension
"From the information given, can you develop a set of instructions about . . .?",Application
How would you differentiate between heterodox and mainstream,Analysis
What factors would you change if . . .?,Application
 Assess the importance of understanding seasonal patters.,Evaluation
Analyze the characteristics of frogs.,Analysis
Compare and contrast our school to other communities.,Analysis
Make up a new language code and write material using it.,Synthesis
"Examine what helps to make a good Olympics? Think about money, schedules, sports and people.",Analysis
Name the property that states that,Knowledge
Recite a policy of immigration in Europe .,Knowledge
Determine the author's point of view,Comprehension
 Why not compose a song about . . .?,Synthesis
Develop a plan for a new Olympic Bid System.,Synthesis
Use a manual to calculate an employee's vacation time.,Application
Look at the symbol. What is the symbol's purpose on a map?,Knowledge
How did Chinese newspapers differ from US,Analysis
Distinguish facts from hypotheses,Analysis
 Pretend you are a librarian recommending this book to someone. Write a paragraph telling what  you would say.,Synthesis
Relate the principle of reinforcement to classroom interactions.,Application
 Assess the appropriateness of an author's conclusions based on the evidence given.,Evaluation
" Using straight value depreciation, decide between two copper-nickel alloys for the design of a heat exchanger.",Evaluation
How would you change the story to create a different ending?,Synthesis
Design a testing scenario to assess the susceptibility of an alloy to be used in a given environment?,Synthesis
Can you compare your . . . with that presented in . . .?,Analysis
" Which of the two algorithms, bubblesort or quicksort, is more efficient? Justify your answer.",Evaluation
How do psychologists differ in their general attitudes toward third party presence,Analysis
List three characteristics that are unique to the Cubist movement.,Knowledge
Define compound interest.,Knowledge
Design a machine to perform a specific task.,Synthesis
Compose an original work which incorporates five common materials in sculpture.,Synthesis
 How do you think the community should grow or change,Evaluation
Examine differences between the means of each individual switching factor.,Analysis
Distinguish between the following giving suitable examples,Analysis
How would this story be different if it had happened in a different country?,Analysis
in what ways trajectory patterns differ according to ABC,Analysis
How does your agency inspect against its expectation for operators,Analysis
 Write a poem about this book.,Synthesis
State in your own words what the author means when he says,Comprehension
 Do you devise a systematic approach in order to get larger progressions,Synthesis
Derive a kinetic model from experimental data.,Application
 How would you have handled . . .?,Evaluation
 Explain and justify a new budget.,Evaluation
in which countries is arabic language spoken,Knowledge
Demonstrate how your unit's specific student learning outcomes are linked to the mission of UAM.,Application
What is the title of the first movie you saw,Knowledge
Draw a picture of the gown Cinderella wore to the ball.,Application
Compare Calliope with Howie. Use the word bank.,Comprehension
State four attributes of well engineered software.,Knowledge
 What solutions would you suggest for...?,Synthesis
"Given these five corrosion inhibitors, V, W, X, Y, Z, identify which are passivators",Comprehension
" Given the data available on a research question, take a position and defend it.",Evaluation
Can you create new and unusual uses for . . .?,Synthesis
Design a building according to given specifications,Synthesis
 Predict what will happen next in.,Evaluation
"Classify the following protocols: IP, TCP, HTTP according to the ISO OSI classification",Comprehension
Draw a painting that uses various principles of perspective to achieve its effect.,Synthesis
" Using the basic principles of socialism discussed in this course, evaluate the US economic system by providing key arguments to support your judgment.",Evaluation
"If notes are available on the professor's website, how should those notes be used?",Application
Summarize the basic tenets of deconstructionism.,Comprehension
Explain the possible uses described in class for the space to the left of the vertical line.,Comprehension
"In your own words, how would you define transferable skills",Comprehension
Construct a family of networks to demonstrate that the number of different mincuts in a network can be exponential in the size of the network,Application
Describe nuclear transport to a lay person.,Comprehension
Make a radio announcement that advertise the book. Write it out.,Synthesis
 What do you think is the best thing about coming to Viestal?,Evaluation
Relate your most powerful story where your use of technology in the classroom has yielded a significant outcome with a student or students,Application
Take a collection of photographs to demonstrate a particular point.,Application
Determine the next number in a sequence,Comprehension
Translate a written text aloud from L to English.,Comprehension
"Paraphrase this poem about Sheik Schubli, explaining what he was saying about the characteristics of a friend",Comprehension
 Write a list of criteria to judge the Willy raps.,Evaluation
How does Tdap differ from Td vaccine,Analysis
 What might happen if you combined...?,Synthesis
Given two opposing theories design an experiment to compare them.,Synthesis
"Divide the story into initiating event, rising action, climax, and falling action",Analysis
How does autonomy differ with age,Analysis
Specify the thickness of a galvanized coating based on atmospheric data? (level ),Application
What are the representational symbols on maps and charts,Knowledge
"Identify a property (commutative, additive, etc(",Knowledge
 Describe the economic consequence of a neolocal society. Support your description with information you have learned from this course.,Evaluation
Explain in one's own words how to create a query in a database.,Comprehension
What is  your family name,Knowledge
Can you invent another character for the story?,Synthesis
 Examine the stated positions of both major political candidates with regard to a particular issue and state good reasons (based on principles discussed in class) for why one candidates position is more likely to be effective than the other's.,Evaluation
 Write a set of rules to prevent what happened in the story.,Synthesis
How could you re-write this story with a city setting?,Synthesis
Predict what happens to X if Y increases.,Application
" Critique the other student's (or your own) speech, based on the criteria we have studied this semester.",Evaluation
Label any Olympic sporting apparatus with design features.,Knowledge
What are the units of corrosion penetration rates? Relate these to Faraday's law,Knowledge
 Judge whether Olympic Ideals are realistic or unrealistic for the contemporary elite athlete.,Evaluation
 Justify the title To Kill a Mockingbird .,Evaluation
,Synthesis
"In a teaching simulation with your peers role-playing th grade students, demonstrate the principle of reinforcement in classroom interactions and prepare a half page description of what happened during the simulation that validated the principle.",Application
Analyze safe and dangerous aspects of these features.,Analysis
 Estimate expenditure on HIV/AIDS education,Evaluation
Compose a class story.,Synthesis
"Analyze the problem, identifying its variables.",Analysis
"How do you distinguish between the binge-eating/purging type of anorexia nervosa and bulimia nervosa, purging type",Analysis
Express your opinion of 'Drugs in Sport' through poetry.,Comprehension
"Explain what the author means by the statement ""our intellectual powers are geared to master static relations.",Comprehension
Contrast building in the coastal zone with building in a river floodplain.,Analysis
How many years does this animal live?,Knowledge
Paraphrase what Hamlet is saying in his soliloquy.,Comprehension
How does your pet differ from other animals?,Analysis
How is scientific progress similar to Darwinian evolution according to Kuhn,Analysis
How does public health reporting differ today from reporting two years before,Analysis
Describe the Pareto Principle in statistical software quality assurance.,Comprehension
Would you solve these two problems using similar approaches,Application
 Was Hemingway a great American writer? First you will need to define greatness.,Evaluation
 Judge whether it would be possible to survive on an island alone and blinded. Write about it.,Evaluation
 can you devise an explicit formula for,Synthesis
Draw the basic outline of a page of notes using the Cornell Method?,Knowledge
Create plan of local environment by drawing around boxes.,Synthesis
Can you distinguish for me between what is reasonably  achievable and what are  exaggerations,Analysis
Compose your own note-taking design that incorporates all theadvantages of the Cornell Method.,Synthesis
Describe in your own words what is meant by a sprained ankle.,Comprehension
Choose a country that does not compete at the Olympics and explain why that country is not an Olympic member.,Application
 Use a judge and jury to discuss the statement 'Children enjoy Anthony Browne's books because of the illustrations'.,Evaluation
 How to combine virtual symmetry and symbolic model checking effectively,Synthesis
Calculate the number of sacrificial anodes that would be required to form a calcareous deposit on a steel pile immersed in seawater.,Application
Define four types of traceability.,Knowledge
How does one specify the syntactical restrictions,Application
 What would you predict/infer from...?,Synthesis
Explain the process (paraphrase) for finding the perimeter of a rectangular garden,Comprehension
Create a chart that compares things that use electricity and things that do NOT use electricity.,Synthesis
Explain in your own words what a recessive gene is.,Comprehension
Make up a puzzle game using the ideas from the study area.,Application
 Determine if a character's actions were heroic,Evaluation
 Appraise data in support of a hypothesis.,Evaluation
Describe what happened at...?,Comprehension
Can you find four different feelings Pa Lia had during the story?,Analysis
Design the architecture of the software system based on the requirements defined in the Software Requirement Specification document,Synthesis
From a blueprint to describe the article depicted.,Comprehension
How would you differentiate obstructive apneas from central apneas,Analysis
Describe and compare the role of Islamic law in the legal systems of Malaysia and Pakistan,Comprehension
Construct the Data Path of the RISC Processor given in the previous question,Application
Describe how the linear polarization method can yield corrosion rates,Comprehension
Differentiate printf function calls for displaying prompts and for echoing data.,Analysis
Examine the differences between the model excluding the most influential observation and the model including all observations.,Analysis
" Given the data we've looked at on this topic, evaluate how appropriate this conclusion is and defend your answer.",Evaluation
How much data can be stored in the cache memory,Knowledge
Describe the major clinical differences between visceral and somatic pain,Comprehension
Choose any U.S. president and explain how he exercised his power as Commander in Chief of the Armed Forces.,Application
"Show, through role-play, the final scene in the novel.",Application
Draw the block diagram of the central processing unit,Knowledge
In one sentence explain the main idea of a written passage.,Comprehension
Name one character. Rewrite the story from this character's point of view.,Synthesis
How would you restructure the school day to reflect children's developmental needs?,Synthesis
Which of the two liquids is hypotonic,Knowledge
Explain the causes of historical events,Comprehension
State the formula for the area of a circle,Knowledge
Rewrite a part in the poem using a different speaker,Comprehension
Label the parts of the microscope shown on the right,Knowledge
Describe the output of this program fragment:,Comprehension
 Appraise the speech's effectiveness based upon the class' criteria.,Evaluation
Combine any two sports to develop a new Olympic sport.,Synthesis
"Combine elements of drama, music, and dance into a stage presentation.",Synthesis
How would you classify the geographic location of your school,Comprehension
Identify which word begins with the same sound as the s in sun (Knowledge of letter s),Knowledge
In Which part of the world does he live,Knowledge
Pretend you are one of the characters in the book. Write a diary about the happenings in your life for two consecutive days.,Application
"Rewrite the sentence in your head, following the direction given below",Comprehension
Identify the standard peripheral components of a computer.,Knowledge
Which technology is used by laser printer,Knowledge
State in your own words where in the library to find previous issues of journals that are no longer in the display racks.,Comprehension
Summarize a story in own words.,Comprehension
 judge the difficulty level for yourself.,Evaluation
Restate the Olympic motto in your own words.,Comprehension
when did the first saudi radio station open,Knowledge
Analyze the movements and sounds of a frog.,Analysis
Can you explain what must have happened when . . .?,Analysis
Name the four major food groups.,Knowledge
 Is there a better solution to . . .?,Evaluation
 Develop and execute a program for this exercise,Synthesis
Describe what goes in each of the four areas on the first page of notes,Comprehension
 Evaluate appropriate and inappropriate actions of characters.,Evaluation
Outline the mechanisms employed by bacteria allowing them to evade phagocytic destruction.,Comprehension
Use the distance travelled and cost of petrol to calculate the cost of a coach trip using a spreadsheet.,Application
Describe  types of coupling in software design.,Comprehension
Explain what a poem means.,Comprehension
Explain why it is likely that a matriarchal family system would be found in a matrilocal or matrilineal society.,Synthesis
How much is your weight,Knowledge
How was life different in your town  years ago?,Analysis
How many loop statement available in c++?,Knowledge
Make a diorama to illustrate an important event.,Application
"If your story occurred long ago, compare that time with today in a good paragraph. If it was a modern story, compare it with a long time ago and tell what would be different.",Analysis
List the levels in Bloom's Taxonomy.,Knowledge
If you had access to all resources how would you deal with . . .?,Synthesis
Relate topographic map to field features,Application
How do you analyze a marginally RCT,Analysis
  Develop a network based on the following information: Activity Immediate predecessors,Synthesis
Explain how Timothy saved Phillip's life.,Comprehension
"Illustrate this caption: ""Olympic as a Media Event in the Information Society""",Comprehension
Recall the following pictorial example of an implementation of some queue operations,Knowledge
Name  steps that follow the taking of notes (within  hours or less)?,Knowledge
How could we determine the number of pennies in a jar without counting them?,Synthesis
Show me how you would check the brake lights are working on this car,Application
List the characteristics peculiar to the Cubist movement.,Knowledge
How much time did he took to build a house,Knowledge
Use the second-derivative test to determine whether critical points where f(x) =  yield relative maxima or relative minima,Application
Show how to modify Fitch's algorithm given in class today to accommodate non-binary,Application
 Evaluate your own or a peer's essay in terms of the principles of composition discussed during the semester.,Evaluation
How do we differentiate between genuine buyer and undercover buyer,Analysis
"Explain the term conjugal families, by making reference to the different types of societies to which they could belong.",Analysis
 Revise how to complete a complex task in order to improve the outcome.,Synthesis
Label the parts of the following insects: Grasshopper,Knowledge
Can you write a new recipe for a tasty dish?,Synthesis
Explain the communicative property.,Comprehension
How many kilometers from your home to the university,Knowledge
Recall the definition of the formula datatype from your assignment ,Knowledge
In what ways are foxes similar to wolves and dogs,Analysis
"How effectively did students analyze course content on race, class, and privilege through autobiographical reflection",Analysis
 Select the most effective solution.,Evaluation
 Assess the relative effectiveness of different graphical representations of the same data or biological concept.,Evaluation
Compare and contrast animals that the class has made.,Analysis
Express the following systems in matrix form,Comprehension
 Do you agree...?,Evaluation
State how to find a word in a dictionary,Knowledge
Who was the writer of the Hamilton,Knowledge
Identify fractions from a pictorial representation,Knowledge
when was the first airport in the yemen built,Knowledge
What are the parts or features of...?,Analysis
Calculate the deflection of a beam under uniform loading.,Application
Which of the following item does not belong to the set ?,Knowledge
 Decide whether you are in favor of building on a floodplain; defend your position in a debate.,Evaluation
What would you do if a heavy growth of bacteria had occurred,Application
  Estimate the epicentral coordinates of the earth-quake,Evaluation
What season are we in right now?,Knowledge
"In your own words, tell what is meant by the definition of an isosceles triangle.",Comprehension
Organize this book into three or more sections and give your own subtitle for each section.,Synthesis
Plan a research paper on a given historical topic,Synthesis
How would you differentiate a project from a program,Analysis
"Given a graph of production trends in automobiles, describe what the graph represents in a memo to your boss.",Comprehension
Develop one plausible ending for all three short stories below.,Synthesis
 Are there students who should not use the Cornell method?,Evaluation
"Draw  pictures showing the beginning, middle and ending of the story.",Application
Explain the whole method of crushing,Comprehension
 Place the following in order of priority...,Evaluation
 How Do You Think One Should Reason in Making Ethical Decisions in Business,Evaluation
What happens if you change the direction of the displacement (but not its size)?,Application
Devise a new economic system based on the ones that already exist.,Synthesis
Who can use what we know about sonnets and finish this poem?,Application
when was the UN formed,Knowledge
Describe what took place as the Hato was sinking.,Comprehension
Describe how Phillip and Timothy survived on the Cay.,Comprehension
"Explain the double meaning the author attributes to the term ""successive action descriptions""",Comprehension
Integrate training from several sources to solve a problem.,Synthesis
Examine carefully the given map extract on the following page to help you work out the exercise below.,Analysis
Classify frogs toads and other amphibians.,Comprehension
Specify the thickness of a galvanized coating based on atmospheric data? (level ),Application
Develop a hypothesis.,Synthesis
About what proportion of the population of the US is living on farms?,Knowledge
Describe an experiment to answer the question of the effects of weight on the fall of an object.,Application
Recite the principles of the Data Protection Act.,Knowledge
How would you investigate this abnormality,Analysis
who was the first to compose in the arts of maqamat,Knowledge
"Create a new song for the opening line of ""Mary had a little lamb"".",Synthesis
 Select the best proposal for a proposed water treatment plant.,Evaluation
Outline your experience in working with service users,Comprehension
 How do you combine the results of various individual tests to determine whether a student can progress to a next semester / phase / year?,Synthesis
Discuss the nature of socialism.,Comprehension
Would this information be useful if you had a . . .?,Application
Summarize the basic tenets of collaborative conservation.,Comprehension
Create and perform a play about frogs.,Synthesis
Construct a simple payroll program that computes net pay for those working  hours or less and net pay for those working over  hours.,Application
What approach would you use to prove the truth of the below statement,Application
 What do you think is the mass and why,Evaluation
Outline the aim of two studies within the,Comprehension
Select the best title for a passage,Comprehension
Compose a simple rap or rhyme about zoo animals.,Synthesis
" After solving a problem, determine the degree to which the problem was solved as efficiently as possible",Evaluation
Conduct an investigation to produce information to support a view.,Analysis
Can you distinguish between . . .?,Analysis
 What would happen if . . .?,Synthesis
Name the artist who painted the Mona Lisa.,Knowledge
Differentiate between .call by value and call by reference.,Analysis
Solve a math problem using familiar procedure or formula,Application
In what ways do female offenders differ from male offenders,Analysis
How many instructions in the instruction set of RISC computer?,Knowledge
Sketch the blackbody curves for radiation emitted from the Sun and the Earth,Application
What are the major products and exports of countries,Knowledge
Contrast the Valles Marineris on Mars with the Grand Canyon,Analysis
How is . . . similar to . . .?,Analysis
Complete an analogy (analogy tasks are inference tasks),Comprehension
" After examining the videotape of a play in a football game, determine the degree to which the defensive team performed effectively and",Evaluation
Demonstrate how this could work in an industry setting?,Application
How might lifestyles in the United States be modified if a more socialistic system were adopted?,Application
Translate an equation into a computer spreadsheet.,Comprehension
List reserved words in C programming.,Knowledge
" In a given clinical situation, select the most reasonable intervention and predict the main effects and possible side effects.",Evaluation
"in what ways is oxyperoxidase similar to other oxygenated heme proteins, and how does it differ",Analysis
"Contrast the treatment of ""well known"" trademarks provided by Paris Article and by TRIPS Article",Analysis
Differentiate the following functions using the quotient rule,Analysis
Investigate (pointwise) convergence and absolute convergence of the given series of functions,Analysis
Model an Olympic Village for the new Millenium.,Application
How much water does an elephant drink,Knowledge
Who is the first president   of USA,Knowledge
Compose a complete C program that reads text strings from a text file into a suitable data,Synthesis
Name the main characters in the story.,Knowledge
Illustrate what you think the main idea was.,Comprehension
Classify types of corrosion inhibitors,Comprehension
Identify the part of a eukaryotic cell.,Knowledge
Distinguish between micro and macro economics.,Analysis
Construct a market strategy for your product using a known strategy as a model.,Application
Compose a device that would assist an athlete in their training.,Synthesis
What are the structure or functions of Congress,Knowledge
 Decide which method of solving a problem was most effective,Evaluation
Make a scrapbook about the areas of study.,Application
Justify your choice of data structure.,Synthesis
Construct a Venn diagram to determine the validity of the given argument.,Application
 How do we efficiently combine multiple subject graphs to construct an aig with choice,Synthesis
Correctly label the brain lobes indicated on the diagram below,Knowledge
 What do you think about . . .?,Evaluation
Investigate whether or not the system can be solved for x; y; z,Analysis
 Justify and nominate ways to prevent animal extinction.,Evaluation
 What criteria would you use to assess the validity of a business contract?,Evaluation
Can you see a possible solution to . . .?,Synthesis
Compare historical events to contemporary situations,Comprehension
" Award the contract to the best proposal. Rank the principles of ""good sportsmanship"" in order of importance to you.",Evaluation
 What is the most important...?,Evaluation
"Inspect the pattern of GPS positions relative to the ""known"" published value",Analysis
Describe in prose what is shown in graph form.,Comprehension
 Listen to two classmates conversing on tape and critique their performance on the basis of the skills covered this semester.,Evaluation
How are the adolescents with ASD similar of different from each other in their sources of communication breakdowns ?,Analysis
 Decide which course of action was most effective,Evaluation
"If your story happened in a foreign land, compare that land to the United States.",Analysis
Classify celebrations into family and community categories.,Comprehension
Explain in your own words what do you mean by the term economics?,Comprehension
Differentiate between the following terms along with appropriate examples,Analysis
 Define the meaning of the Olympic Motto.,Knowledge
Calculate for x in the following equation: x=,Application
How do you construct foliations on a given manifold M?,Application
Apply and integrate several different strategies to solve a mathematical problem (not according to one formula(,Synthesis
Design costumes for the characters.,Synthesis
 How would you decide about...?,Evaluation
State the rule for using a semicolon in a sentence.,Knowledge
Use Laplace to solve the following problems,Application
Examine the data in the EMPLOYEES and DEPARTMENTS tables,Analysis
 Would you have liked to have had Cinderella for a sister? Explain why or why not.,Evaluation
What would result if ...,Application
Compare two of the characters in this book.,Analysis
who is the founder of the kingdom of saudi Arabia,Knowledge
Compare two dog food commercials. What is the difference between them and how do they both sell their products?,Analysis
Can you distinguish aged rums from unaged rums by smell,Analysis
Compare fall and spring,Analysis
recall the supply voltage constraints,Knowledge
How to Construct the Optimal Maintenance Problem,Application
 How could we develop a coherent measure of success for organisations engaged in this type of activity with young people?,Synthesis
Compose music for a frog play.,Synthesis
 Revise and process to improve the outcome.,Synthesis
